mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.016054709752400715,7.583718197399688e-05,0.0,0.0,0.05,16,0.85,"{'learning_rate': 0.05, 'n_estimators': 16, 'subsample': 0.85}",0.6302288212945946,0.6055261234648943,0.610867486253442,0.6155408103376436,0.010612438881279947,77
0.01802341143290202,0.0027708734511241984,0.0,0.0,0.05,16,0.9,"{'learning_rate': 0.05, 'n_estimators': 16, 'subsample': 0.9}",0.6207361922186881,0.6049058619760646,0.6100434263783181,0.6118951601910236,0.006594013824799399,78
0.034023125966389976,0.005966312611378114,0.0009224414825439453,0.001304529255109192,0.05,32,0.6,"{'learning_rate': 0.05, 'n_estimators': 32, 'subsample': 0.6}",0.7881325930771742,0.7726570661315776,0.7780015895772516,0.7795970829286678,0.0064177972771962645,52
0.03737537066141764,0.005618251098156805,0.0007817745208740234,0.0011055961301377722,0.05,32,0.7,"{'learning_rate': 0.05, 'n_estimators': 32, 'subsample': 0.7}",0.7903533016683587,0.7668225423478197,0.7792610360751592,0.7788122933637792,0.009611631358794627,54
0.036429405212402344,0.0025372693003720644,0.001426378885904948,0.0006022611349842258,0.05,32,0.75,"{'learning_rate': 0.05, 'n_estimators': 32, 'subsample': 0.75}",0.7887122882467892,0.7654695125539134,0.7772615978961321,0.7771477995656116,0.009489164628577044,58
0.027277231216430664,0.001643140960348731,0.0007004737854003906,0.000496181236927469,0.05,32,0.8,"{'learning_rate': 0.05, 'n_estimators': 32, 'subsample': 0.8}",0.7868519929366732,0.7685606818656757,0.7767383851601203,0.7773836866541565,0.0074813245568616845,56
0.025779565175374348,0.011647071949912638,0.0,0.0,0.05,32,0.85,"{'learning_rate': 0.05, 'n_estimators': 32, 'subsample': 0.85}",0.7884328169847905,0.7645062919222934,0.7776077142873072,0.776848941064797,0.009782687190268837,59
0.04091628392537435,0.011513478566105493,0.00036144256591796875,0.0005111569787401228,0.05,32,0.9,"{'learning_rate': 0.05, 'n_estimators': 32, 'subsample': 0.9}",0.786201945053392,0.7663673201917371,0.7760201240219162,0.7761964630890151,0.008098411673514895,60
0.054465929667154946,0.0022823413154288833,0.0011173089345296223,0.0008470065642916249,0.05,64,0.6,"{'learning_rate': 0.05, 'n_estimators': 64, 'subsample': 0.6}",0.8518878473663074,0.8272590694801858,0.845137854650761,0.8414282571657514,0.01039118248537577,25
0.06291007995605469,0.019762152693478974,0.0014616648356119792,0.0013709646618204076,0.05,64,0.7,"{'learning_rate': 0.05, 'n_estimators': 64, 'subsample': 0.7}",0.8513912868244742,0.8244619440477662,0.8442658850269563,0.8400397052997323,0.011392770278015754,28
0.0737744967142741,0.01420420678573998,0.005160967508951823,0.0025973719946146886,0.05,64,0.75,"{'learning_rate': 0.05, 'n_estimators': 64, 'subsample': 0.75}",0.8501423695064156,0.8269764752651567,0.8439125213599767,0.8403437887105163,0.009788311176833714,27
0.06670880317687988,0.01271311205131092,0.0009998480478922527,0.000730663453631524,0.05,64,0.8,"{'learning_rate': 0.05, 'n_estimators': 64, 'subsample': 0.8}",0.8473834378582745,0.8311751592160191,0.8408836511726056,0.8398140827489664,0.0066600829121907295,29
0.07065733273824056,0.0032588285810204298,0.00036342938741048175,0.0005139667686408491,0.05,64,0.85,"{'learning_rate': 0.05, 'n_estimators': 64, 'subsample': 0.85}",0.8460529193465411,0.8274944468924182,0.8412118086328422,0.8382530582906004,0.007860020256479238,33
0.06824668248494466,0.013525993029485631,0.0,0.0,0.05,64,0.9,"{'learning_rate': 0.05, 'n_estimators': 64, 'subsample': 0.9}",0.8456795981808884,0.8289214851588474,0.8423220824355437,0.83897438859176,0.007239423483890427,31
0.11942497889200847,0.012135165353307008,0.0010843276977539062,0.0008858369287653542,0.05,128,0.6,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.6}",0.8591292868355607,0.8323518049433949,0.8580122319328777,0.8498311079039444,0.012368143943316864,3
0.12273987134297688,0.0025860569340603813,0.0013879934946695964,0.000984091900221302,0.05,128,0.7,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.7}",0.8600910061613553,0.8300982411495555,0.8554142766157588,0.8485345079755565,0.013175479767869092,7
0.12839063008626303,0.01648696835694393,0.0014333724975585938,0.0005524125378284123,0.05,128,0.75,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.75}",0.861767471577542,0.8300273974449954,0.8552549419579778,0.8490166036601717,0.013688090322692761,5
0.12169623374938965,0.008707827146663292,0.0013082027435302734,0.000925599902437532,0.05,128,0.8,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.8}",0.8592384392755826,0.8325664592990571,0.858108434081197,0.8499711108852789,0.012315590405746249,2
0.12961649894714355,0.008658791954649551,0.0017354488372802734,0.00046253724603250487,0.05,128,0.85,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.85}",0.859514788760954,0.8346512203113163,0.8572941037682456,0.850486704280172,0.011234019015327888,1
0.1227570374806722,0.01497417368831985,0.002905766169230143,0.001958601437825893,0.05,128,0.9,"{'learning_rate': 0.05, 'n_estimators': 128, 'subsample': 0.9}",0.8568030114568064,0.8328019296907564,0.8559449390650031,0.8485166267375219,0.01111748921028217,8
0.24360076586405435,0.00645387440145543,0.0009965896606445312,0.0007247156439174531,0.05,256,0.6,"{'learning_rate': 0.05, 'n_estimators': 256, 'subsample': 0.6}",0.8599120944089232,0.8255721447180748,0.8558526396815741,0.8471122929361906,0.015321080947823716,13
0.23558648427327475,0.004820259081668139,0.0,0.0,0.05,256,0.7,"{'learning_rate': 0.05, 'n_estimators': 256, 'subsample': 0.7}",0.861962250223375,0.82751280493751,0.8563034500032424,0.8485928350547091,0.015083793892549272,6
0.25939027468363446,0.026083332978883808,0.008537371953328451,0.006873264381174527,0.05,256,0.75,"{'learning_rate': 0.05, 'n_estimators': 256, 'subsample': 0.75}",0.8586805647133315,0.825187715339115,0.8517058643401566,0.845191381464201,0.01442848121267629,19
